date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:41:57	204/204	U-----	200	untouched ('OK%20')	text/plain	date:Mon,%2014%20Mar%202016%2021:33:25%20GMT	http://localhost:3001/robots.txt		(from )
14:41:57	80699/80699	U--M--	200	updated ('OK%20')	text/html	etag:%22e42852b6de28d7d19f10ff7b9f93bd0f%22	http://localhost:3001/voxlgo	VoxLGo/localhost_3001/voxlgo.html	(from )
14:41:58	385365/385365	---M--	200	added ('OK%20')	application/javascript	etag:%22399dc14401afa2e691b40b83775fc129%22	http://localhost:3001/assets/application.js	VoxLGo/localhost_3001/assets/application.js	(from http://localhost:3001/voxlgo)
14:41:58	41250/41250	---M--	200	added ('OK%20')	application/javascript	etag:%2207446ed67379a5decd644ef41752c472%22	http://localhost:3001/assets/voxel_library.js	VoxLGo/localhost_3001/assets/voxel_library.js	(from http://localhost:3001/voxlgo)
14:41:58	12995/12995	---M--	200	added ('OK%20')	application/javascript	etag:%22e62069fbc57a0067c3887d2c86f5ad59%22	http://localhost:3001/assets/voxel_high_level_lib.js	VoxLGo/localhost_3001/assets/voxel_high_level_lib.js	(from http://localhost:3001/voxlgo)
14:41:58	68605/68605	---M--	200	added ('OK%20')	application/javascript	etag:%2206a906e986028a9b2886c923e27999be%22	http://localhost:3001/assets/acorn/acorn.js	VoxLGo/localhost_3001/assets/acorn/acorn.js	(from http://localhost:3001/voxlgo)
14:41:58	78559/78559	---M--	200	added ('OK%20')	application/javascript	etag:%22f0cf23873346d187de8423cd0b3b6538%22	http://localhost:3001/assets/acorn/interpreter.js	VoxLGo/localhost_3001/assets/acorn/interpreter.js	(from http://localhost:3001/voxlgo)
14:41:59	13583/13583	---M--	200	added ('OK%20')	application/javascript	etag:%22bbdd8f2bed355e1650e4d24ff22045bc%22	http://localhost:3001/assets/blockly_interpreter.js	VoxLGo/localhost_3001/assets/blockly_interpreter.js	(from http://localhost:3001/voxlgo)
14:41:59	6494/6494	---M--	200	added ('OK%20')	image/gif	etag:%22c870d7aa869643f8f48797bd6ce5c1de%22	http://localhost:3001/assets/ajax-loader.gif	VoxLGo/localhost_3001/assets/ajax-loader.gif	(from http://localhost:3001/voxlgo)
14:41:59	4060/4060	---M--	200	added ('OK%20')	application/javascript	etag:%2227787ed7f0dc549287007d6830b33527%22	http://localhost:3001/assets/socket_manager.js	VoxLGo/localhost_3001/assets/socket_manager.js	(from http://localhost:3001/voxlgo)
