date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:41:08	204/204	U-----	200	untouched ('OK%20')	text/plain	date:Mon,%2014%20Mar%202016%2021:33:25%20GMT	http://localhost:3001/robots.txt		(from )
14:41:08	80699/80699	U--M--	200	updated ('OK%20')	text/html	etag:%22ac59d314396688c577b98d56979ae611%22	http://localhost:3001/voxlgo	VoxLGo/localhost_3001/voxlgo.html	(from )
14:41:08	84320/84320	U-----	200	untouched ('')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	VoxLGo/ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from http://localhost:3001/voxlgo)
14:41:08	385365/385365	U-----	200	untouched ('')	application/javascript	etag:%22399dc14401afa2e691b40b83775fc129%22	http://localhost:3001/assets/application.js	VoxLGo/localhost_3001/assets/application.js	(from http://localhost:3001/voxlgo)
14:41:08	41250/41250	U-----	200	untouched ('')	application/javascript	etag:%2207446ed67379a5decd644ef41752c472%22	http://localhost:3001/assets/voxel_library.js	VoxLGo/localhost_3001/assets/voxel_library.js	(from http://localhost:3001/voxlgo)
14:41:09	12995/12995	U-----	200	untouched ('')	application/javascript	etag:%22e62069fbc57a0067c3887d2c86f5ad59%22	http://localhost:3001/assets/voxel_high_level_lib.js	VoxLGo/localhost_3001/assets/voxel_high_level_lib.js	(from http://localhost:3001/voxlgo)
14:41:09	78559/78559	U-----	200	untouched ('')	application/javascript	etag:%22f0cf23873346d187de8423cd0b3b6538%22	http://localhost:3001/assets/acorn/interpreter.js	VoxLGo/localhost_3001/assets/acorn/interpreter.js	(from http://localhost:3001/voxlgo)
14:41:09	68605/68605	U-----	200	untouched ('')	application/javascript	etag:%2206a906e986028a9b2886c923e27999be%22	http://localhost:3001/assets/acorn/acorn.js	VoxLGo/localhost_3001/assets/acorn/acorn.js	(from http://localhost:3001/voxlgo)
14:41:09	13583/13583	U-----	200	untouched ('')	application/javascript	etag:%22bbdd8f2bed355e1650e4d24ff22045bc%22	http://localhost:3001/assets/blockly_interpreter.js	VoxLGo/localhost_3001/assets/blockly_interpreter.js	(from http://localhost:3001/voxlgo)
14:41:09	6494/6494	U-----	200	untouched ('')	image/gif	etag:%22c870d7aa869643f8f48797bd6ce5c1de%22	http://localhost:3001/assets/ajax-loader.gif	VoxLGo/localhost_3001/assets/ajax-loader.gif	(from http://localhost:3001/voxlgo)
14:41:09	28600254/28600254	U-----	200	untouched ('')	application/octet-stream	etag:%2219a383e7d2aa12288b26591f5caccaef%22	http://s3-us-west-1.amazonaws.com/voxel-engine/Releases/0-14/WebGL/Unzipped/VoxLAlpha/Release/VoxLAlpha.datagz	VoxLGo/s3-us-west-1.amazonaws.com/voxel-engine/Releases/0-14/WebGL/Unzipped/VoxLAlpha/Release/VoxLAlpha.datagz	(from http://localhost:3001/voxlgo)
14:41:10	28297064/28297064	U-----	200	untouched ('')	application/octet-stream	etag:%2218e1ae55deff3b6323c40c2a806efe88%22	http://s3-us-west-1.amazonaws.com/voxel-engine/Releases/0-14/WebGL/Unzipped/VoxLAlpha/Release/VoxLAlpha.jsgz	VoxLGo/s3-us-west-1.amazonaws.com/voxel-engine/Releases/0-14/WebGL/Unzipped/VoxLAlpha/Release/VoxLAlpha.jsgz	(from http://localhost:3001/voxlgo)
14:41:10	1887697/1887697	U-----	200	untouched ('')	application/octet-stream	etag:%22c172ebe261eeb021f084b52f01f48cef%22	http://s3-us-west-1.amazonaws.com/voxel-engine/Releases/0-14/WebGL/Unzipped/VoxLAlpha/Release/VoxLAlpha.memgz	VoxLGo/s3-us-west-1.amazonaws.com/voxel-engine/Releases/0-14/WebGL/Unzipped/VoxLAlpha/Release/VoxLAlpha.memgz	(from http://localhost:3001/voxlgo)
14:41:10	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Fri,%2006%20May%202016%2018:41:10%20GMT	http://s3-us-west-1.amazonaws.com/robots.txt		(from http://localhost:3001/voxlgo)
14:41:10	36800/36800	U-----	200	untouched ('')	application/javascript	etag:%225326142bb0c36e13249ddc3530d0c726%22	http://s3-us-west-1.amazonaws.com/voxel-engine/Releases/0-14/WebGL/Unzipped/VoxLAlpha/Release/UnityLoader.js	VoxLGo/s3-us-west-1.amazonaws.com/voxel-engine/Releases/0-14/WebGL/Unzipped/VoxLAlpha/Release/UnityLoader.js	(from http://localhost:3001/voxlgo)
14:41:10	4060/4060	U-----	200	untouched ('')	application/javascript	etag:%2227787ed7f0dc549287007d6830b33527%22	http://localhost:3001/assets/socket_manager.js	VoxLGo/localhost_3001/assets/socket_manager.js	(from http://localhost:3001/voxlgo)
14:41:10	5581/5581	U-----	200	untouched ('')	application/javascript	etag:%229426e728f170204ea8eb7eec192d5585%22	http://localhost:3001/assets/blockly_message_bus.js	VoxLGo/localhost_3001/assets/blockly_message_bus.js	(from http://localhost:3001/voxlgo)
14:41:10	3271/3271	U-----	200	untouched ('')	application/javascript	etag:%22b3415424006f1dc740eab55be544217f%22	http://localhost:3001/assets/unity_message_bus.js	VoxLGo/localhost_3001/assets/unity_message_bus.js	(from http://localhost:3001/voxlgo)
14:41:11	1997/1997	U-----	200	untouched ('OK%20')	text/css	etag:%2259bbb15fd126c93725a88465b7657f3d%22	http://localhost:3001/assets/blockly/apps/common.css	VoxLGo/localhost_3001/assets/blockly/apps/common.css	(from http://localhost:3001/voxlgo)
14:41:11	1633/1633	U-----	200	untouched ('OK%20')	text/css	etag:%22002b5f8099b973625d4789c666bf00d0%22	http://localhost:3001/assets/blockly/apps/code/style.css	VoxLGo/localhost_3001/assets/blockly/apps/code/style.css	(from http://localhost:3001/voxlgo)
14:41:11	602612/602612	U-----	200	untouched ('')	application/javascript	etag:%22910432b033a1967a833f14747e4c5de8%22	http://localhost:3001/assets/blockly/blockly_compressed.js	VoxLGo/localhost_3001/assets/blockly/blockly_compressed.js	(from http://localhost:3001/voxlgo)
